,section_id,s_node,e_node,length
10841,117697858,1325463928,1325463874,3
10842,117697859,1325463941,1325463845,2
10843,117697860,1325463945,1325463866,3
10844,117697861,1325463922,1325463872,3
10845,117697862,1325463842,1325463901,6
10846,117697863,1325463872,1325463884,4
10847,117697864,1325463845,1325463872,6
10848,117697865,1325463893,1320351471,3
10849,117699291,1325478848,1325478899,3
10850,117699292,1325478792,1325478689,2
10851,117699293,1325478860,1325478748,2
10852,117699294,1325478914,1325478914,14
10853,117699295,1325478773,1325478686,7
10854,117699296,1325478869,1325478765,2
10855,117699297,1325478738,1325478917,7
10856,117699298,1325478751,1325478924,5
10857,117699299,2391094983,1325478719,4
10858,117699300,1325478927,534554979,4
10859,117699301,1325478840,1325478864,5
10860,117699302,1325478907,1325478801,2
10861,117699303,1325478832,534555181,6
10862,117699304,1325478776,1325478856,3
10863,117699305,1325478828,1325478912,2
10864,117699306,1325478757,1325478706,2
10865,117699307,1325478689,1325478858,32
10866,117699308,534248159,1325478724,5
10867,117699309,1325478827,1325478801,11
10868,117703457,1325509394,1325509496,23
10869,117703461,1325509649,1325509405,2
10870,117703464,1325509665,1325509649,13
10871,117703467,1325509683,1325509449,11
10872,117703470,1325509623,1325509623,7
10873,117703472,1325509405,1325509394,4
10874,117703473,1325509346,1325509474,2
10875,117703475,1325509449,1325509452,7
10876,117703477,1325509372,1325509449,14
10877,117703478,1325509452,1325509442,2
10878,117703479,1325509394,1325509442,37
10879,117703512,1325510900,1325510902,3
10880,117704964,1325523799,1325523873,2
10881,117704965,1325523839,1325523763,4
10882,117704967,1325523806,1325523712,2
10883,117704968,1325523864,1325523708,4
10884,117704970,1325523811,1325523771,4
10885,117704971,1325523873,1325478751,4
10886,117704972,1325523879,5841745381,6
10887,117704973,1325523796,1325523862,16
10888,117704974,1325523813,1325523784,3
10889,117704975,1325523762,1325523835,2
10890,117704976,1325523715,1325523871,5
10891,117704977,1325523756,1325523851,6
10892,117707508,1325550785,530658951,2
10893,117707509,1325550728,1325550638,4
10894,117707511,734419506,1325550810,2
10895,117707513,1325550669,1325550711,2
10896,117707517,1325550689,1325550680,2
10897,117707518,1325550710,1325550732,2
10898,117707519,1325550759,1325550645,3
10899,117707520,1325550772,534312128,8
10900,117707522,1325550769,5075515650,3
10901,117707523,1325550795,1325550725,7
10902,117707524,1325550754,1325550772,2
10903,117707525,1325550636,1325550684,3
10904,117707526,1325550794,1325550634,2
10905,117707527,1325550781,1325550682,4
10906,117707528,1325550663,1325550657,5
10907,117707529,1325550700,1325550776,2
10908,117709086,1325569696,1325569928,13
10909,117709089,1325569928,1325569753,4
10910,117709091,1325569678,1325569816,21
10911,117709092,1325569753,1325569717,2
10912,117709094,1325569784,1325569934,2
10913,117709096,1325569790,1325569873,10
10914,117709098,1325569934,1325569842,2
10915,117709099,1325569773,1325569876,10
10916,117709103,1325569794,1325569788,15
10917,117709104,1325569812,1325569696,2
10918,117709107,1325569776,1325569697,2
